molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL3642055,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12,8.09,8.1,nM
CHEMBL3642044,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12,7.7,20.05,nM
CHEMBL3642051,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCNc3c4c(nc5ccc(Cl)cc35)CCCC4)cc12,5.48,3280.6,nM
CHEMBL3642040,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12,7.47,33.77,nM
CHEMBL3642048,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCNc3c4c(nc5ccccc35)CCCC4)cc12,6.73,186.44,nM
CHEMBL3642056,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12,7.59,25.6,nM
CHEMBL3736339,COC(=O)C1=C(C)OP(=O)(OC)OCC1,5.985,1040.0,nM
CHEMBL3735606,COP1(=O)OCCC(C(=O)OC(C)(C)C)=C(C)O1,5.220000000000001,6100.0,nM
CHEMBL3735042,CCOP1(=O)CCCC(C(=O)OC)=C(C)O1,5.085,8900.0,nM
CHEMBL2179375,CO[P@]1(=O)CC[C@@H]2COC(=O)C2=C(C)O1,5.52,3000.0,nM
CHEMBL3401159,CO[P@]1(=O)OC[C@@H]2COC(=O)C2=C(C)O1,7.46,35.0,nM
