molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL3093237,Cn1c(=O)c2c(nc3n2CCCN3Cc2cc(Cl)cc(Cl)c2)n(C)c1=O,6.71,193.0,nM
CHEMBL3093236,Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(Cl)c(Cl)c2)n(C)c1=O,7.2,62.9,nM
CHEMBL241617,Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(Cl)cc2)n(C)c1=O,6.66,218.0,nM
CHEMBL241618,Cn1c(=O)c2c(nc3n2CCCN3Cc2cccc(Cl)c2)n(C)c1=O,6.46,344.0,nM
CHEMBL3093234,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(Cl)c(Cl)c2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093233,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(Cl)cc2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093232,Cn1c(=O)c2c(nc3n2CCCN3c2cccc(Cl)c2)n(C)c1=O,5.3,4960.0,nM
CHEMBL3093230,CCn1c(=O)c2c(nc3n2CCCN3C2CCCCC2)n(CC)c1=O,5.43,3720.0,nM
CHEMBL3093228,CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)c(OC)c2)n(CC)c1=O,5.23,5870.0,nM
CHEMBL3093227,CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(CC)c1=O,5.32,4760.0,nM
CHEMBL3093225,CCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2OC)n(CC)c1=O,5.49,3260.0,nM
CHEMBL3093224,CCn1c(=O)c2c(nc3n2CCCN3c2cccc(OC)c2)n(CC)c1=O,5.19,6390.0,nM
CHEMBL3093326,CCn1c(=O)c2c(nc3n2CCCN3c2ccc(O)cc2)n(CC)c1=O,5.0,10000.0,nM
CHEMBL3093325,CCn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(CC)c1=O,5.0,10000.0,nM
CHEMBL3093315,C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093313,C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccc(OC)cc2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093312,C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccc(OC)c2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093311,C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2OC)n(C)c1=O,5.75,1800.0,nM
CHEMBL3093310,C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,5.42,3760.0,nM
CHEMBL3093333,C#CCn1c(=O)c2c(nc3n2CCCN3c2ccc(C(C)C)cc2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093331,C#CCn1c(=O)c2c(nc3n2CCCN3c2cccc(Br)c2)n(C)c1=O,5.0,10000.0,nM
CHEMBL199600,O=C(N/N=C/c1ccccc1O)c1ccc(O)cc1,5.89,1300.0,nM
CHEMBL3108952,Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(O)c3ncccc23)cc1,4.09,81000.0,nM
CHEMBL3108958,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccnc(-c3cc(C(=O)O)ccn3)c2)cc1.O=C(O)C(F)(F)F,4.33,47000.0,nM
CHEMBL3108959,COC(=O)c1ccnc(-c2cc(C(=O)Nc3ccc([C@@H]4C[C@H]4N)cc3)ccn2)c1.Cl,4.36,43300.0,nM
CHEMBL3113647,CCCOc1ccc2oc(=O)c(CN3CCCC3)cc2c1,4.65,22300.0,nM
CHEMBL3112600,CCCCOc1ccc2oc(=O)c(CNCC)cc2c1,5.13,7340.0,nM
CHEMBL3113639,CCCNCc1cc2ccccc2oc1=O,4.21,62300.0,nM
CHEMBL3113638,O=C(O)c1cc2cc([N+](=O)[O-])ccc2oc1=O,7.71,19.5,nM
CHEMBL3121773,C#CCCCCOc1ccc2c(c1)NC(=O)CC2,7.28,52.6,nM
CHEMBL3121867,C#CCNCCOc1ccc2ccc(=O)oc2c1,6.07,852.0,nM
CHEMBL3121866,C#CCNCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,6.42,377.0,nM
CHEMBL3121865,CCCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,9.06,0.875,nM
CHEMBL3121864,COC(=O)c1cc2cc(OC/C=C(\C)CCC=C(C)C)ccc2oc1=O,6.49,325.0,nM
CHEMBL3121863,COC(=O)c1cc2ccc(OC/C=C(\C)CCC=C(C)C)cc2oc1=O,7.1,78.9,nM
CHEMBL3121862,CC(=O)Nc1cc2ccc(OCc3cccc(Cl)c3)cc2oc1=O,7.87,13.5,nM
CHEMBL3121796,COC(=O)c1cc2cc(OCCc3ccc(Cl)cc3)ccc2oc1=O,6.92,120.0,nM
